Year	   Precip		 Rainfall	 Sublimation (Gt/yr)
1958       686.07        29.97       -31.23
1959       705.24        32.17       -32.63
1960       722.47        32.19       -31.49
1961       657.50        31.82       -28.16
1962       643.75        25.61       -36.54
1963       664.02        24.79       -35.07
1964       785.97        29.53       -34.47
1965       636.32        24.14       -34.35
1966       527.70        31.83       -31.42
1967       684.16        24.14       -34.70
1968       619.77        28.95       -31.81
1969       621.15        24.22       -31.64
1970       693.26        29.50       -32.71
1971       568.57        21.86       -33.02
1972       887.66        32.23       -34.62
1973       703.09        29.74       -28.36
1974       669.06        26.30       -31.61
1975       784.79        37.62       -32.29
1976       863.23        44.34       -35.42
1977       721.40        30.57       -30.23
1978       761.28        37.43       -31.57
1979       656.06        24.12       -33.04
1980       693.64        24.73       -37.16
1981       642.63        34.49       -36.34
1982       621.64        23.57       -32.96
1983       768.02        35.11       -29.78
1984       813.64        43.88       -31.89
1985       659.15        27.22       -37.07
1986       760.27        30.78       -34.14
1987       797.17        34.84       -31.85
1988       713.83        35.58       -36.24
1989       658.51        36.25       -31.42
1990       682.72        30.80       -34.32
1991       696.97        26.88       -35.18
1992       682.79        21.82       -31.70
1993       694.15        30.50       -34.15
1994       623.27        27.00       -34.67
1995       626.26        29.04       -37.74
1996       823.93        31.48       -37.78
1997       750.38        34.42       -37.27
1998       625.21        28.95       -39.39
1999       696.03        28.19       -30.09
2000       711.61        38.23       -31.02
2001       738.54        29.49       -32.67
2002       723.37        38.18       -36.23
2003       778.39        42.93       -36.39
2004       710.33        37.72       -33.33
2005       773.05        36.16       -37.27
2006       616.98        31.80       -32.07
2007       695.94        33.41       -35.22
2008       759.44        35.84       -37.09
2009       584.66        21.12       -34.33
2010       709.42        47.49       -35.32
2011       618.17        27.51       -33.84
2012       716.58        48.71       -35.97
2013       717.12        27.04       -32.54
2014       739.64        34.71       -37.02
2015       667.12        25.42       -34.04
2016       733.59        31.55       -40.14
2017       761.96        36.71       -35.64
2018       724.65        34.06       -32.27
2019       623.84        27.85       -45.72
2020       731.01        38.05       -34.71
