Year	   Precip		 Rainfall	  Sublimation (Gt/yr)
1958        64.33        21.11        -0.32
1959        72.87        22.73        -0.30
1960        69.36        23.34        -0.23
1961        62.42        19.78        -0.37
1962        65.50        19.73        -0.50
1963        64.12        19.37        -0.39
1964        68.78        21.33        -0.48
1965        64.90        19.33        -0.42
1966        50.38        16.50        -0.44
1967        60.74        17.81        -0.56
1968        57.38        19.22        -0.31
1969        55.18        17.92        -0.32
1970        63.76        19.39        -0.46
1971        55.59        16.88        -0.47
1972        83.50        25.56        -0.40
1973        60.20        19.53        -0.41
1974        66.52        20.31        -0.39
1975        65.80        21.22        -0.43
1976        82.62        26.54        -0.40
1977        66.23        20.33        -0.33
1978        67.54        22.28        -0.35
1979        63.10        20.22        -0.40
1980        65.00        19.62        -0.42
1981        59.79        19.20        -0.41
1982        63.71        19.44        -0.45
1983        63.16        20.50        -0.49
1984        74.22        25.72        -0.39
1985        64.62        19.39        -0.44
1986        70.95        22.39        -0.51
1987        68.91        22.85        -0.33
1988        64.85        21.50        -0.45
1989        59.10        19.69        -0.47
1990        69.33        22.29        -0.40
1991        63.92        20.36        -0.57
1992        62.54        18.91        -0.63
1993        61.10        20.76        -0.42
1994        59.24        18.97        -0.61
1995        57.78        19.07        -0.60
1996        74.36        23.58        -0.64
1997        68.01        22.22        -0.69
1998        60.57        20.01        -0.44
1999        66.54        21.13        -0.43
2000        59.10        19.38        -0.39
2001        63.37        21.13        -0.40
2002        66.92        22.67        -0.45
2003        66.37        23.29        -0.49
2004        64.05        21.71        -0.40
2005        69.43        22.89        -0.35
2006        61.81        20.33        -0.36
2007        67.97        21.83        -0.43
2008        70.26        24.00        -0.54
2009        61.53        19.05        -0.44
2010        65.24        24.22        -0.18
2011        59.31        20.05        -0.38
2012        63.33        22.20        -0.30
2013        65.70        20.58        -0.57
2014        69.55        23.06        -0.33
2015        61.51        20.22        -0.44
2016        70.88        22.78        -0.42
2017        67.62        22.58        -0.55
2018        70.25        22.54        -0.46
2019        61.78        19.39        -0.51
2020        68.95        23.32        -0.44
