Year	   Precip		 Rainfall	 Sublimation    BlowingSnowSubl (Gt/yr)
1958       684.54        21.18       -31.03         0.04 
1959       706.86        21.67       -32.37         0.04 
1960       722.19        22.06       -31.34         0.05 
1961       656.04        22.49       -27.99         0.04 
1962       643.89        16.69       -36.45         0.05 
1963       664.94        14.52       -34.97         0.05 
1964       786.73        17.85       -34.38         0.05 
1965       633.59        15.28       -34.23         0.05 
1966       526.30        25.24       -31.37         0.04 
1967       680.31        14.01       -34.72         0.05 
1968       620.48        21.33       -31.54         0.04 
1969       621.09        16.39       -31.50         0.04 
1970       692.62        20.10       -32.61         0.05 
1971       572.07        14.77       -32.94         0.04 
1972       888.18        19.50       -34.40         0.05 
1973       703.41        20.85       -28.22         0.04 
1974       669.42        16.14       -31.45         0.04 
1975       784.39        27.10       -32.18         0.04 
1976       863.87        31.51       -35.32         0.06 
1977       717.90        21.39       -29.95         0.04 
1978       759.62        26.71       -31.39         0.05 
1979       656.08        15.56       -32.87         0.05 
1980       694.33        15.49       -36.95         0.05 
1981       642.26        26.35       -36.27         0.05 
1982       621.10        14.84       -32.83         0.04 
1983       766.44        25.15       -29.71         0.04 
1984       814.83        33.03       -31.76         0.04 
1985       659.69        17.11       -36.80         0.05 
1986       759.38        20.18       -33.98         0.05 
1987       796.03        23.63       -31.65         0.04 
1988       712.09        26.21       -36.07         0.05 
1989       659.05        27.94       -31.38         0.04 
1990       683.01        22.25       -34.23         0.04 
1991       697.72        17.79       -35.13         0.05 
1992       684.41        12.88       -31.67         0.05 
1993       693.33        20.72       -33.98         0.04 
1994       624.29        18.52       -34.54         0.04 
1995       625.10        21.56       -37.63         0.04 
1996       823.15        20.44       -37.74         0.06 
1997       750.10        24.80       -37.22         0.05 
1998       627.31        21.43       -39.18         0.05 
1999       697.27        19.51       -29.96         0.04 
2000       711.18        29.94       -30.83         0.04 
2001       738.44        19.98       -32.61         0.04 
2002       724.06        28.52       -36.07         0.05 
2003       774.65        32.86       -36.25         0.05 
2004       711.41        28.95       -33.23         0.04 
2005       772.33        26.33       -37.17         0.05 
2006       620.02        24.09       -31.99         0.04 
2007       692.68        24.09       -35.07         0.05 
2008       760.72        26.21       -37.03         0.04 
2009       584.43        12.82       -34.25         0.04 
2010       709.43        40.22       -35.09         0.04 
2011       620.23        19.02       -33.82         0.04 
2012       714.43        39.85       -35.87         0.04 
2013       717.61        18.02       -32.40         0.05 
2014       740.52        24.72       -36.89         0.05 
2015       669.47        16.26       -34.08         0.04 
2016       735.43        21.93       -40.01         0.05 
2017       762.56        27.26       -35.52         0.05 
2018       726.28        23.84       -32.20         0.05 
2019       623.07        20.02       -45.55         0.05 
2020       730.58        28.58       -34.63         0.05 
