Year	   Precip		 Rainfall	 Sublimation    BlowingSnowSubl (Gt/yr)
1958        63.79         5.52        -0.23         0.00 
1959        72.48         4.72        -0.22         0.00 
1960        69.42         7.33        -0.15         0.00 
1961        61.81         4.66        -0.27         0.00 
1962        64.76         4.07        -0.38         0.00 
1963        63.08         3.46        -0.29         0.00 
1964        67.59         3.91        -0.38         0.00 
1965        64.21         4.23        -0.32         0.00 
1966        49.19         4.86        -0.33         0.00 
1967        59.48         2.61        -0.45         0.00 
1968        56.59         6.05        -0.23         0.00 
1969        53.67         4.36        -0.22         0.00 
1970        62.56         3.83        -0.35         0.00 
1971        54.51         3.05        -0.36         0.00 
1972        82.72         4.20        -0.30         0.00 
1973        58.85         4.28        -0.31         0.00 
1974        65.82         3.31        -0.29         0.00 
1975        64.55         5.37        -0.33         0.00 
1976        81.68         5.46        -0.30         0.00 
1977        64.90         4.64        -0.25         0.00 
1978        66.48         5.89        -0.26         0.00 
1979        61.79         4.09        -0.29         0.00 
1980        64.20         3.76        -0.29         0.00 
1981        58.54         5.10        -0.31         0.00 
1982        63.05         3.57        -0.35         0.00 
1983        61.90         4.34        -0.40         0.00 
1984        73.28         6.75        -0.30         0.00 
1985        64.32         4.33        -0.31         0.00 
1986        69.62         3.96        -0.40         0.00 
1987        67.64         5.88        -0.24         0.00 
1988        63.58         5.75        -0.34         0.00 
1989        58.11         5.60        -0.38         0.00 
1990        68.59         5.94        -0.30         0.00 
1991        62.61         4.39        -0.45         0.00 
1992        61.69         2.57        -0.50         0.00 
1993        59.76         5.52        -0.32         0.00 
1994        58.40         4.42        -0.49         0.00 
1995        56.44         5.47        -0.47         0.00 
1996        72.91         5.44        -0.52         0.00 
1997        66.93         5.70        -0.56         0.00 
1998        59.70         5.43        -0.33         0.00 
1999        65.14         4.76        -0.35         0.00 
2000        57.61         4.76        -0.30         0.00 
2001        61.90         5.43        -0.28         0.00 
2002        66.24         6.69        -0.34         0.00 
2003        65.10         7.68        -0.38         0.00 
2004        62.74         6.34        -0.30         0.00 
2005        67.71         6.58        -0.26         0.00 
2006        60.96         5.46        -0.26         0.00 
2007        66.60         5.75        -0.32         0.00 
2008        68.75         6.30        -0.42         0.00 
2009        61.27         4.46        -0.35         0.00 
2010        64.23        10.39        -0.10         0.00 
2011        58.47         5.31        -0.29         0.00 
2012        61.98         7.44        -0.22         0.00 
2013        64.95         4.47        -0.46         0.00 
2014        68.90         5.76        -0.24         0.00 
2015        60.43         4.22        -0.34         0.00 
2016        70.34         5.49        -0.30         0.00 
2017        66.14         5.40        -0.45         0.00 
2018        69.49         4.94        -0.36         0.00 
2019        61.75         5.53        -0.38         0.00 
2020        67.67         6.79        -0.33         0.00 
