year,tp
1958,759.124544775486
1959,855.7403706073761
1960,789.4586478531361
1961,743.6083806991577
1962,788.7161740481853
1963,777.7124213695527
1964,871.2392908275127
1965,690.5689729332923
1966,651.3069783210755
1967,705.4866823673249
1968,701.6011104464532
1969,761.5659935116768
1970,760.6711986064911
1971,773.3017574012279
1972,919.833352547884
1973,690.5552395224571
1974,689.2057434618473
1975,869.4060598015785
1976,962.0250558376313
1977,771.5934356093406
1978,777.7301107108592
1979,728.7257283449172
1980,713.2642691016198
1981,693.888973993063
1982,685.1900138020516
1983,837.4761050939561
1984,921.0473624467849
1985,721.501186066866
1986,897.3779880166054
1987,773.5640655636787
1988,752.802673470974
1989,739.0975475251674
1990,830.5693414747715
1991,832.6774817407131
1992,746.0598028302193
1993,811.5786453723907
1994,699.6636196911336
1995,796.2762972116469
1996,958.1627167344093
1997,846.8778918981553
1998,730.69418938756
1999,854.7258855283261
2000,814.0563773155212
2001,857.7472112774849
2002,852.4985327363014
2003,847.5375840187073
2004,875.4953807115554
2005,867.8272193491458
2006,717.5197753310204
2007,781.8954740464687
2008,883.0892927885056
2009,714.9074131011963
2010,753.947490310669
2011,717.5156348884105
2012,849.3814071655273
2013,815.6950306177139
2014,871.7403862476349
2015,774.6526471495629
2016,866.2308513879775
2017,874.7831945121288
2018,869.5339169740677
2019,739.6934728860855
2020,736.2866615891456
