 year,P,E,DSS,Rainfall
1980,   0.78636E+03,  -0.92010E+02,  -0.68648E+02,   0.11626E+02
1981,   0.70505E+03,  -0.82570E+02,  -0.62277E+02,   0.20556E+02
1982,   0.72488E+03,  -0.79922E+02,  -0.57979E+02,   0.13117E+02
1983,   0.87802E+03,  -0.70929E+02,  -0.57252E+02,   0.26770E+02
1984,   0.90525E+03,  -0.76794E+02,  -0.66136E+02,   0.28257E+02
1985,   0.77371E+03,  -0.90534E+02,  -0.70759E+02,   0.14440E+02
1986,   0.89470E+03,  -0.81687E+02,  -0.72494E+02,   0.21363E+02
1987,   0.93357E+03,  -0.81910E+02,  -0.65648E+02,   0.22427E+02
1988,   0.80263E+03,  -0.88579E+02,  -0.69134E+02,   0.27390E+02
1989,   0.73604E+03,  -0.80186E+02,  -0.59658E+02,   0.24777E+02
1990,   0.82486E+03,  -0.81897E+02,  -0.63789E+02,   0.18990E+02
1991,   0.85661E+03,  -0.79091E+02,  -0.65331E+02,   0.17798E+02
1992,   0.83758E+03,  -0.75604E+02,  -0.70561E+02,   0.11330E+02
1993,   0.81823E+03,  -0.80383E+02,  -0.66929E+02,   0.22386E+02
1994,   0.73077E+03,  -0.83285E+02,  -0.57261E+02,   0.19195E+02
1995,   0.73572E+03,  -0.89210E+02,  -0.63889E+02,   0.21188E+02
1996,   0.10192E+04,  -0.86880E+02,  -0.83182E+02,   0.22320E+02
1997,   0.92533E+03,  -0.85042E+02,  -0.72342E+02,   0.28036E+02
1998,   0.76898E+03,  -0.91563E+02,  -0.63070E+02,   0.22661E+02
1999,   0.86168E+03,  -0.76152E+02,  -0.62172E+02,   0.23698E+02
2000,   0.86209E+03,  -0.85136E+02,  -0.61503E+02,   0.37888E+02
2001,   0.90705E+03,  -0.85201E+02,  -0.57672E+02,   0.20357E+02
2002,   0.91620E+03,  -0.90442E+02,  -0.64398E+02,   0.34690E+02
2003,   0.99528E+03,  -0.92572E+02,  -0.71805E+02,   0.47635E+02
2004,   0.86919E+03,  -0.86044E+02,  -0.56712E+02,   0.33901E+02
2005,   0.96643E+03,  -0.87383E+02,  -0.76128E+02,   0.33709E+02
2006,   0.71794E+03,  -0.84669E+02,  -0.53008E+02,   0.28306E+02
2007,   0.85508E+03,  -0.82444E+02,  -0.70454E+02,   0.27086E+02
2008,   0.93696E+03,  -0.88363E+02,  -0.69596E+02,   0.29138E+02
2009,   0.73081E+03,  -0.86868E+02,  -0.56435E+02,   0.12761E+02
2010,   0.85950E+03,  -0.98226E+02,  -0.58657E+02,   0.48997E+02
2011,   0.72890E+03,  -0.83031E+02,  -0.59718E+02,   0.21887E+02
2012,   0.91242E+03,  -0.88930E+02,  -0.66145E+02,   0.64071E+02
2013,   0.87015E+03,  -0.80764E+02,  -0.65008E+02,   0.18451E+02
2014,   0.91533E+03,  -0.88620E+02,  -0.70451E+02,   0.26633E+02
2015,   0.79071E+03,  -0.82730E+02,  -0.59938E+02,   0.17239E+02
2016,   0.89658E+03,  -0.96054E+02,  -0.67101E+02,   0.46464E+02
2017,   0.91291E+03,  -0.90180E+02,  -0.63162E+02,   0.33017E+02
2018,   0.87110E+03,  -0.77319E+02,  -0.64537E+02,   0.24126E+02
2019,   0.76729E+03,  -0.10309E+03,  -0.67076E+02,   0.16155E+02
2020,   0.85131E+03,  -0.80043E+02,  -0.69367E+02,   0.27539E+02
