year,tp,sf
1980,910.2724824760198,884.6626057802557
1981,815.1805670400381,780.3326743676186
1982,852.5469246458053,828.2666350359559
1983,1002.5004690159321,961.1505676540494
1984,1068.4453779886724,1019.8685806848049
1985,896.3262093340874,867.4198286938728
1986,1043.617017176938,1008.481072610879
1987,1078.5865774639606,1036.5000755668043
1988,932.2007203709124,887.2092437045812
1989,855.2476415768742,814.1830312800765
1990,970.5917738797903,930.8642677807927
1991,998.0002784781932,965.1627705210924
1992,984.7073010739326,962.3858266953469
1993,950.1201953670025,911.3853134502649
1994,855.6909220763445,822.1217047482132
1995,855.1707815587043,814.4858129959583
1996,1174.3644656175138,1130.949658117485
1997,1067.001027433753,1017.9325250070573
1998,896.8990141651868,856.017496895495
1999,1003.679742572546,962.759835877192
2000,986.8760812120556,929.7412004088044
2001,1047.201693864429,1006.7431970712781
2002,1057.077997516942,992.5450189305723
2003,1136.0236105557442,1058.9874518763245
2004,1004.0749904585839,946.2805966872572
2005,1107.4921984413386,1048.0911665616513
2006,849.2904863017321,800.7547675723195
2007,994.3260750735999,947.6785127630949
2008,1095.2786804810523,1040.4754080370544
2009,854.186206060791,823.3585161307096
2010,986.0133143830896,901.555008178854
2011,861.6702092185736,823.2318714577914
2012,1038.8617964104533,954.0703276313008
2013,1009.9252251880168,975.0217613375664
2014,1068.1017749368548,1019.3951473733903
2015,925.0462592992961,892.7605331979333
2016,1048.840834528923,1010.409804149425
2017,1055.3841137568593,1002.4217396624625
2018,1021.4450891226769,979.393333684969
2019,890.9650921559453,856.1131132739365
2020,989.5125741476655,940.2955746596575
