year,tp,sf
1958,822.7568002433395,783.2138586259739
1959,863.1801912138171,824.2374699714375
1960,871.615410700836,826.5770420449737
1961,790.4697433252036,750.8694815035266
1962,782.2128492477823,750.3959293430308
1963,803.4660445809822,775.609918691631
1964,938.8978569369781,906.2944960498066
1965,769.3889295578248,738.9801421544411
1966,632.40986809584,590.9044888773104
1967,812.0510478191018,786.360224992393
1968,742.3013783233978,702.347389270044
1969,740.5938889123494,708.858044824062
1970,829.9906589303697,794.1920229318652
1971,690.7310034526354,664.1309790217854
1972,1071.7326492508853,1034.9609777582104
1973,836.3565552639466,800.0268408062624
1974,814.010469342449,784.3319670203409
1975,929.543881850978,882.5899577521773
1976,1045.4840602322686,992.6000088770481
1977,858.7046085703835,820.1267423916686
1978,907.5165743634378,861.0803439641239
1979,792.5476469493285,762.5759984566167
1980,834.3321437076524,804.0106828337849
1981,769.2664129944469,724.9157757445421
1982,756.9452763487129,729.1510287057981
1983,907.6742386024345,865.007611247165
1984,980.613897742307,925.2293751574251
1985,795.5719309429061,762.4519879669966
1986,914.5759756330069,879.1335920686408
1987,948.0735309884042,904.9300892688444
1988,853.1234373114472,807.2576216469823
1989,787.8190031091125,740.1537885257691
1990,829.4984895517387,787.0366421848995
1991,835.8832540901719,803.6402876434978
1992,821.8739522306023,798.1180650907812
1993,829.0771817252714,790.1908299936439
1994,751.6869808833483,717.9758033252632
1995,748.6797659510414,708.2065778177486
1996,984.2177951497179,945.2489054592337
1997,897.3177482710407,852.078317659425
1998,757.2548265809762,717.7462311654796
1999,838.1548542575952,802.6647832870566
2000,840.2229347126294,792.5702824518125
2001,877.8201991053483,839.4437710809794
2002,870.3312124049075,817.6088739437024
2003,920.1697512647743,862.6784922192224
2004,851.350594854588,800.2902468571925
2005,921.2638484100828,872.8130038276803
2006,751.2321888470675,709.091449965191
2007,835.7763509158309,793.4721903042794
2008,914.9056953363461,866.6824484762592
2009,713.9401410488473,686.5638400500961
2010,845.9416520826575,775.3049591116413
2011,748.7861982136438,713.4564957000039
2012,850.8942099391512,788.4576779407422
2013,859.5304254783367,825.73216456143
2014,892.9082476093652,848.239601049185
2015,805.2139620682541,773.5757794600494
2016,887.1472628283838,847.1174490627426
2017,911.6350795135066,864.1896814407222
2018,878.6223145920137,836.8838671358525
2019,753.460782064357,715.4329286883445
2020,879.4546845668818,827.4699137406465
