year,tp,sf
1958,820.0641003899574,722.4499569199163
1959,859.5920154813527,753.354491437135
1960,868.2572550951004,763.4939805307657
1961,787.9547840144634,692.0386572893005
1962,779.9604104192018,689.3985150710733
1963,798.9995224481106,709.4391439100698
1964,936.9822975479126,834.2814327495054
1965,767.5143284114599,680.0694970988739
1966,631.2750965361356,547.3335326403165
1967,809.033078605175,723.8837465217217
1968,740.596640545702,651.5960834260148
1969,739.4811898197413,655.7459284320117
1970,828.3879123836756,733.47279310685
1971,687.4089234032153,608.4133795497405
1972,1067.9871926487447,948.5778523836125
1973,834.8744855638743,739.6364361809358
1974,811.1934490576028,716.3889789395214
1975,926.543773052001,817.7872117971949
1976,1041.9978039428233,909.438467161352
1977,856.9893431171417,758.8344498163725
1978,905.0232486375094,795.1254225144419
1979,790.2644427306652,699.1416547769259
1980,832.2803487887859,741.0378043012915
1981,767.957029008174,671.2928813881708
1982,754.6268602786541,666.8481969778802
1983,903.3356047985553,798.782771512924
1984,977.4592418080806,849.1747756660087
1985,793.1221566640854,703.9110290170188
1986,911.7544063055038,806.017841965845
1987,944.5733165471554,834.9089023646603
1988,851.251814411974,746.2008376853431
1989,786.0405789438724,685.6265567786926
1990,826.9963569478035,724.8666472566879
1991,834.2688789745807,739.8743326482615
1992,819.8341657161712,732.2233865917658
1993,827.144785147953,728.6261311568214
1994,749.6403686920166,661.307874284956
1995,747.3875609577656,656.7794486824376
1996,982.2004442800045,872.4617508428141
1997,895.2011376865388,788.2950277769635
1998,754.9605437815666,661.1598853813858
1999,836.134982558918,739.6534616579474
2000,838.7509439386367,736.1286710292861
2001,876.1907926208257,777.3341711382832
2002,867.5034109065293,756.475068194472
2003,917.9748135221959,801.2612222586012
2004,849.5458798025846,740.6075399228283
2005,919.6805929562569,809.9112232749824
2006,749.1695094700575,652.8617659958845
2007,834.0444348336935,731.4212472899422
2008,912.3060228252411,798.2106396464135
2009,711.3194939256906,629.392470357386
2010,844.00264648242,725.5435967110665
2011,746.7388266944885,655.4492870950892
2012,849.1325971392631,731.1868476426794
2013,857.2314582512855,761.8849959165107
2014,889.805925532794,779.9399756830401
2015,803.0066342014073,710.265885576044
2016,884.1390625449658,779.5176832541921
2017,909.1377792244434,797.719009722669
2018,875.7328678014279,767.8506028473341
2019,750.8990220055341,660.6400629918267
2020,877.2349589949846,764.7474038140052
